node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,idle_ms,tag,rho,slowdown,slowdown_pct
edge_fast,decode,4,512,28,10.476956493221223,3.56173038482666,8.380798011785373,0p30,0.29925,1.2501144256773828,25.011442567738285
edge_fast,prefill,4,2048,28,258.8585975172464,5.444850921630859,219.9476435198449,0p30,0.29925,1.1769100744827519,17.691007448275187
edge_fast,decode,4,2048,28,9.987195022404194,5.425539493560791,8.852863014908507,0p30,0.29925,1.1281316570227546,12.813165702275464
edge_fast,prefill,8,128,28,32.81543395132758,3.204265594482422,27.880439505679533,0p30,0.29925,1.1770056187472488,17.700561874724883
edge_fast,decode,8,128,28,9.028821979882196,3.2038450241088867,7.923835015390068,0p30,0.29925,1.1394510312678099,13.945103126780989
edge_fast,prefill,8,512,28,134.03285350068472,4.165493011474609,114.75436598993838,0p30,0.29925,1.1679978565036617,16.79978565036617
edge_fast,decode,8,512,28,9.21979098347947,4.156306266784668,8.30898099229671,0p30,0.29925,1.1096175321651567,10.961753216515667
edge_fast,prefill,8,2048,28,541.6687599790748,8.00551986694336,457.14936798322015,0p30,0.29925,1.1848835367939456,18.488353679394564
edge_fast,decode,8,2048,28,11.74170448211953,7.966894626617432,9.574528987286612,0p30,0.29925,1.226348000795712,22.634800079571193
edge_fast,prefill,1,128,28,11.417797970352694,2.925077438354492,9.655238507548347,0p40,0.402,1.1825495518755336,18.254955187553357
edge_fast,decode,1,128,28,9.043402475072073,2.9250259399414062,8.546328492229804,0p40,0.402,1.0581622837566098,5.816228375660981
edge_fast,prefill,1,512,28,21.395767020294443,3.04446792602539,17.43668701965362,0p40,0.402,1.2270546002333116,22.70546002333116
edge_fast,decode,1,512,28,9.286582004278898,3.043076515197754,7.807021989719942,0p40,0.402,1.1895165680982067,18.951656809820673
edge_fast,prefill,1,2048,28,72.79398350510746,3.5248374938964844,58.13206150196493,0p40,0.402,1.2522174790351612,25.221747903516125
edge_fast,decode,1,2048,28,9.27475799107924,3.561000347137451,7.888109510531649,0p40,0.402,1.1757897096504852,17.578970965048523
edge_fast,prefill,4,128,28,19.87466448917985,3.04446792602539,16.968926502158865,0p40,0.402,1.171238763197619,17.123876319761912
edge_fast,decode,4,128,28,9.196991508360952,3.044468879699707,8.309366996400058,0p40,0.402,1.106822157734211,10.682215773421099
edge_fast,prefill,4,512,28,68.35606798995286,3.5248374938964844,55.57264748495072,0p40,0.402,1.2300307990268762,23.003079902687617
edge_fast,decode,4,512,28,10.992194002028556,3.56173038482666,8.380798011785373,0p40,0.402,1.3115927608052296,31.159276080522957
edge_fast,prefill,4,2048,28,274.1398154757917,5.444850921630859,219.9476435198449,0p40,0.402,1.246386690435523,24.638669043552298
edge_fast,decode,4,2048,28,9.993037005187944,5.425539493560791,8.852863014908507,0p40,0.402,1.1287915545919265,12.87915545919265
edge_fast,prefill,8,128,28,33.070165023673326,3.204265594482422,27.880439505679533,0p40,0.402,1.1861421702816626,18.61421702816626
edge_fast,decode,8,128,28,9.761851513758302,3.2038450241088867,7.923835015390068,0p40,0.402,1.2319604705042881,23.196047050428813
edge_fast,prefill,8,512,28,141.95260850829072,4.165493011474609,114.75436598993838,0p40,0.402,1.237012703470795,23.701270347079493
edge_fast,decode,8,512,28,9.280489990487697,4.156306266784668,8.30898099229671,0p40,0.402,1.1169227609368315,11.692276093683152
edge_fast,prefill,8,2048,28,572.2147815104108,8.00551986694336,457.14936798322015,0p40,0.402,1.2517020072341305,25.17020072341305
edge_fast,decode,8,2048,28,11.822323518572375,7.966894626617432,9.574528987286612,0p40,0.402,1.234768157709947,23.476815770994698
edge_fast,prefill,1,128,28,11.032053007511422,2.925077438354492,9.655238507548347,0p50,0.4985,1.1425976684974377,14.259766849743771
edge_fast,decode,1,128,28,9.050294000189751,2.9250259399414062,8.546328492229804,0p50,0.4985,1.0589686563555503,5.896865635555026
edge_fast,prefill,1,512,28,21.829143981449302,3.04446792602539,17.43668701965362,0p50,0.4985,1.2519089180671055,25.190891806710546
edge_fast,decode,1,512,28,9.640465956181288,3.043076515197754,7.807021989719942,0p50,0.4985,1.2348454979216879,23.484549792168785
edge_fast,prefill,1,2048,28,75.79767098650336,3.5248374938964844,58.13206150196493,0p50,0.4985,1.3038875454974415,30.388754549744146
edge_fast,decode,1,2048,28,9.089767496334389,3.561000347137451,7.888109510531649,0p50,0.4985,1.1523378934075865,15.233789340758651
edge_fast,prefill,4,128,28,21.55625401064753,3.04446792602539,16.968926502158865,0p50,0.4985,1.2703369307366053,27.033693073660526
edge_fast,decode,4,128,28,10.336220497265458,3.044468879699707,8.309366996400058,0p50,0.4985,1.243923935691312,24.392393569131208
edge_fast,prefill,4,512,28,72.70679849898443,3.5248374938964844,55.57264748495072,0p50,0.4985,1.3083198621889247,30.83198621889247
