episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason,guard_candidate_calls,guard_proposal_missing,guard_proposal_changed,guard_risk_reducing,guard_expected_accept,guard_actual_accept,guard_decision_mismatch,guard_selected_mappings
76,20083,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,10,1.2,60230.12378873581,6559.526184640643,14757.595401796802,0.6666666666666667,0.19923585151661652,0.1328239010110777,3,3,0.6666666666666666,0.0,38.83811025597998,0.0,12.946036751993326,12.946036751993326,0.0,0.0,0.0,280,-281.99746143288553,,80,0,0,0,0,0,0,0
77,20084,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,53887.397381054194,6232.14314186394,12503.9418124787,0.41666666666666663,0.22268657577103504,0.09278607323793127,4,4,0.5,0.0,50.53492023609766,0.0,12.633730059024415,12.633730059024415,0.0,0.0,0.0,252,-234.99691368946023,,36,0,0,0,0,0,0,0
78,20085,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,38283.87283167609,9402.228896829294,18200.766328149846,0.5833333333333333,0.3134479119382926,0.18284461529733734,8,8,0.625,0.0,98.25261244281548,0.0,12.281576555351934,12.281576555351934,0.0,0.0,0.0,140,-184.18212793026393,,40,0,0,0,0,0,0,0
79,20086,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,34029.72556011224,6209.0705710974535,13150.667113701127,0.5,0.35263287618357214,0.17631643809178607,2,2,0.5,0.0,24.649413348651503,0.0,12.324706674325752,12.324706674325752,0.0,0.0,0.0,196,-143.84279253330175,,28,0,0,0,0,0,0,0
80,20087,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,37803.84235270768,7717.99020279188,18341.57146740796,0.8333333333333334,0.31742805104414223,0.26452337587011854,7,5,0.6,0.0,84.67444697064272,0.0,12.096349567234673,16.934889394128543,0.0,0.0,0.0,196,-163.22422914540527,,28,0,0,0,0,0,0,0
81,20088,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,54760.623390067005,9746.386802621402,13938.890437306916,0.5,0.21913556232774137,0.10956778116387068,10,8,0.75,0.0,122.88466578104135,0.0,12.288466578104135,15.360583222630169,0.0,0.0,0.0,224,-295.59827757332994,,48,0,0,0,0,0,0,0
82,20089,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,43058.117613046794,9101.28959300441,17225.299896655666,0.33333333333333337,0.27869309354954125,0.09289769784984708,7,6,0.5,0.0,85.7478760399542,0.0,12.249696577136316,14.2913126733257,0.0,0.0,0.0,196,-217.42808007162807,,56,0,0,0,0,0,0,0
83,20090,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,55518.290445436956,13817.23946930405,22784.274738044445,0.5833333333333333,0.21614498399934576,0.12608457399961834,13,8,0.75,0.0,175.5285756463021,0.0,13.502198126638623,21.941071955787763,0.0,0.0,0.0,168,-284.4875264458548,,48,0,0,0,0,0,0,0
84,20091,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,44816.216202950745,10674.015654164854,24673.72673237695,0.41666666666666663,0.2677602220066474,0.11156675916943641,10,5,0.6,0.0,127.6147242553025,0.0,12.76147242553025,25.5229448510605,0.0,0.0,0.0,168,-232.06934536034964,,60,0,0,0,0,0,0,0
85,20092,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,40008.567055791704,8977.289449390593,19761.35753560308,0.6666666666666667,0.2999357608400739,0.1999571738933826,5,3,1.0,0.0,61.26833599703935,0.0,12.25366719940787,20.422778665679783,0.0,0.0,0.0,224,-204.5365184377145,,32,0,0,0,0,0,0,0
86,20093,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,34312.35280203381,13768.807375630466,21912.190865595607,0.16666666666666663,0.3497282762634895,0.058288046043914916,9,7,0.2857142857142857,0.0,114.13669729918158,0.0,12.681855255464619,16.305242471311654,0.0,0.0,0.0,112,-160.4426160375279,,16,0,0,0,0,0,0,0
87,20094,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,50569.19461313147,6094.770666268002,10834.083375804878,0.6666666666666667,0.23729861809750713,0.1581990787316714,6,6,0.5,0.0,78.70700315814179,0.0,13.117833859690299,13.117833859690299,0.0,0.0,0.0,252,-259.4793462590452,,72,0,0,0,0,0,0,0
88,20095,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,42102.485049262184,9709.728224124268,17168.41502327977,0.5833333333333333,0.28501880556359915,0.16626096991209952,9,6,0.6666666666666666,0.0,113.66394380171701,0.0,12.629327089079668,18.943990633619503,0.0,0.0,0.0,168,-222.07315152293728,,24,0,0,0,0,0,0,0
89,20096,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,42618.70564840557,15041.660503879248,29589.98913292285,0.33333333333333337,0.28156650506932834,0.09385550168977612,11,9,0.3333333333333333,0.0,135.64288510741517,0.0,12.331171373401379,15.071431678601686,0.0,0.0,0.0,140,-237.28213438018946,,20,0,0,0,0,0,0,0
90,20097,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,49724.399440077425,16064.680418161535,28353.735750290092,0.5833333333333333,0.24133021484676004,0.14077595866061002,13,9,0.6666666666666666,0.0,160.23764086873692,0.0,12.325972374518225,17.804182318748545,0.0,0.0,0.0,112,-223.03822233460306,,16,0,0,0,0,0,0,0
91,20098,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,33358.762698443345,8571.469406807717,17481.524774367248,0.6666666666666667,0.35972557221254403,0.239817048141696,8,5,1.0,0.0,105.13570421707583,0.0,13.141963027134478,21.027140843415165,0.0,0.0,0.0,140,-165.63122314280244,,20,0,0,0,0,0,0,0
92,20099,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,38076.8377922471,9498.196830864346,17120.650612125737,0.41666666666666663,0.31515222102932466,0.13131342542888527,9,7,0.7142857142857143,0.0,109.96487156124499,0.0,12.218319062360555,15.709267365892142,0.0,0.0,0.0,168,-191.45734574687452,,96,0,1,1,0,0,0,0
93,20100,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,40132.00783840817,14712.345656963385,25809.58029902352,0.5833333333333333,0.29901319785239977,0.17442436541389986,12,7,0.8571428571428571,0.0,144.2832343231222,0.0,12.023602860260183,20.611890617588887,0.0,0.0,0.0,140,-224.97102938629573,,40,0,0,0,0,0,0,0
94,20101,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,46409.53440319636,6471.182944247771,11912.374982087642,0.5,0.25856755846215784,0.12928377923107892,4,4,0.75,0.0,57.343092621524946,0.0,14.335773155381236,14.335773155381236,0.0,0.0,0.0,252,-275.16043790719317,,72,0,0,0,0,0,0,0
95,20102,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,47053.45971397707,8340.773598067937,11324.158502948168,0.5,0.2550290684881444,0.1275145342440722,6,6,0.8333333333333334,0.0,73.79966964285987,0.0,12.299944940476644,12.299944940476644,0.0,0.0,0.0,196,-266.65419213971785,,84,0,0,0,0,0,0,0
96,20103,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,102075.65537634933,28767.2768549207,52122.79119812065,0.08333333333333337,0.11755986239575367,0.009796655199646138,22,9,0.1111111111111111,0.0,286.34545037605153,0.0,13.015702289820524,31.816161152894615,0.0,0.0,0.0,112,-318.2931418364127,,32,0,0,0,0,0,0,0
97,20104,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,54053.859182322354,7318.23143391455,16387.32820204309,0.5833333333333333,0.2220008003410874,0.12950046686563432,7,5,0.8,0.0,85.59413080731225,0.0,12.227732972473179,17.11882616146245,0.0,0.0,0.0,224,-262.14073061411455,,64,0,0,0,0,0,0,0
98,20105,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,26682.76562260404,6646.305770893036,12365.340687095757,0.25,0.4497284940296563,0.11243212350741408,5,5,0.2,0.0,66.4543344997043,0.0,13.29086689994086,13.29086689994086,0.0,0.0,0.0,168,-167.192294981345,,48,0,0,0,0,0,0,0
99,20106,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,10,1.2,39493.449541196496,4857.677001758861,11087.626321271828,0.6666666666666667,0.30384785678147797,0.20256523785431865,3,3,0.6666666666666666,0.0,41.02265092635068,0.0,13.674216975450227,13.674216975450227,0.0,0.0,0.0,280,-228.5908710822667,,40,0,0,0,0,0,0,0
