method,max_abs_q_difference,mean_abs_q_difference,rank_correlation,stable_action,risky_action,action_changed,stable_node,risky_node,node_changed,stable_group,risky_group,group_changed,target_node_index,stable_target_margin,risky_target_margin,target_preference_shift,num_actions,sample,sample_seed
TMC-Stage1,0.04409980773925781,0.040646180510520935,0.9761904761904763,0,0,0,6,6,0,1,1,0,5,-0.19685718417167664,-0.2781495451927185,-0.08129236102104187,8,186,91187
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,187,91188
TMC-Stage1,0.0030586719512939453,0.001529395580291748,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,187,91188
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,5,-0.1249847412109375,-0.1249847412109375,0.0,8,188,91189
TMC-Stage1,0.04139912128448486,0.03985831141471863,1.0,1,1,0,6,6,0,1,1,0,5,-0.18891432881355286,-0.2686309516429901,-0.07971662282943726,8,188,91189
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.3236401081085205,0.3236401081085205,0.0,8,189,91190
TMC-Stage1,0.04475367069244385,0.04146108031272888,0.9761904761904763,0,0,0,6,6,0,1,1,0,6,0.33372023701667786,0.2507980763912201,-0.08292216062545776,8,189,91190
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,190,91191
TMC-Stage1,0.0002243518829345703,0.00011220574378967285,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,190,91191
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.266088604927063,0.266088604927063,0.0,12,191,91192
TMC-Stage1,0.05808305740356445,0.03666879733403524,1.0,1,1,0,6,6,0,1,1,0,6,0.14854775369167328,0.06604300439357758,-0.0825047492980957,12,191,91192
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.4785027503967285,0.4785027503967285,0.0,8,192,91193
TMC-Stage1,0.06149280071258545,0.05825953185558319,0.9761904761904763,0,0,0,6,6,0,1,1,0,6,0.3163599371910095,0.19984087347984314,-0.11651906371116638,8,192,91193
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,193,91194
TMC-Stage1,0.0015884637832641602,0.0007942616939544678,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,193,91194
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.4131721258163452,0.4131721258163452,0.0,12,194,91195
TMC-Stage1,0.05500143766403198,0.035394703348477684,1.0,1,1,0,6,6,0,1,1,0,6,0.24006050825119019,0.16042250394821167,-0.07963800430297852,12,194,91195
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.16390305757522583,0.16390305757522583,0.0,8,195,91196
TMC-Stage1,0.04313480854034424,0.04103425145149231,1.0,1,1,0,6,6,0,1,1,0,6,0.156958669424057,0.07489016652107239,-0.08206850290298462,8,195,91196
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,1,0.33837080001831055,0.33837080001831055,0.0,6,196,91197
TMC-Stage1,0.055104970932006836,0.03673659761746725,0.942857142857143,0,0,0,6,6,0,1,1,0,1,0.42538197338581085,0.34272462129592896,-0.0826573520898819,6,196,91197
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,197,91198
TMC-Stage1,0.002785623073577881,0.0013928264379501343,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,197,91198
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,198,91199
TMC-Stage1,0.002051234245300293,0.0010256469249725342,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,198,91199
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,199,91200
TMC-Stage1,2.384185791015625e-07,1.4901161193847656e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,199,91200
