method,max_abs_q_difference,mean_abs_q_difference,rank_correlation,stable_action,risky_action,action_changed,stable_node,risky_node,node_changed,stable_group,risky_group,group_changed,target_node_index,stable_target_margin,risky_target_margin,target_preference_shift,num_actions,sample,sample_seed
TMC-Stage1,0.041386425495147705,0.0407828688621521,1.0,0,0,0,6,6,0,1,1,0,6,0.1410992443561554,0.059533506631851196,-0.0815657377243042,8,33,91034
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.28831803798675537,-0.28831803798675537,0.0,8,34,91035
TMC-Stage1,0.04155111312866211,0.03999599814414978,1.0,0,0,0,6,6,0,1,1,0,5,-0.2807910144329071,-0.36078301072120667,-0.07999199628829956,8,34,91035
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,35,91036
TMC-Stage1,0.0032204389572143555,0.0017478764057159424,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,35,91036
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,0.022394001483917236,0.022394001483917236,0.0,12,36,91037
TMC-Stage1,0.05734992027282715,0.03644729653994242,0.9720279720279721,0,0,0,6,6,0,1,1,0,4,-0.08971823751926422,-0.1717246174812317,-0.08200637996196747,12,36,91037
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,37,91038
TMC-Stage1,0.0015597939491271973,0.0007798820734024048,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,37,91038
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,3,-0.2423344850540161,-0.2423344850540161,0.0,8,38,91039
TMC-Stage1,0.04593169689178467,0.042322129011154175,1.0,0,0,0,6,6,0,1,1,0,3,-0.08717411756515503,-0.17181837558746338,-0.08464425802230835,8,38,91039
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,39,91040
TMC-Stage1,0.0009795427322387695,0.0004897713661193848,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,39,91040
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.07809263467788696,-0.07809263467788696,0.0,12,40,91041
TMC-Stage1,0.05753922462463379,0.036579251289367676,0.9720279720279721,0,0,0,6,6,0,1,1,0,5,-0.051691934466362,-0.13399533927440643,-0.08230340480804443,12,40,91041
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.40337204933166504,0.40337204933166504,0.0,8,41,91042
TMC-Stage1,0.03989696502685547,0.03989684581756592,1.0,1,1,0,6,6,0,1,1,0,6,0.24073445796966553,0.1609407663345337,-0.07979369163513184,8,41,91042
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,3,-0.20775222778320312,-0.20775222778320312,0.0,8,42,91043
TMC-Stage1,0.04230964183807373,0.04009369760751724,0.9761904761904763,0,0,0,6,6,0,1,1,0,3,-0.21405474841594696,-0.29424214363098145,-0.08018739521503448,8,42,91043
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,43,91044
TMC-Stage1,1.1920928955078125e-07,4.470348358154297e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,43,91044
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,5,-0.331661581993103,-0.331661581993103,0.0,8,44,91045
TMC-Stage1,0.04585456848144531,0.04370133578777313,0.9761904761904763,1,1,0,6,6,0,1,1,0,5,-0.1972752809524536,-0.2846779525279999,-0.08740267157554626,8,44,91045
MSN,0.0,0.0,0.9999999999999999,1,1,0,6,6,0,1,1,0,6,0.1151689489682517,0.1151689489682517,0.0,10,45,91046
TMC-Stage1,0.06241476535797119,0.045974123477935794,0.9878787878787878,1,1,0,6,6,0,1,1,0,6,0.029908259709676033,-0.06587114930152893,-0.09577940901120496,10,45,91046
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,46,91047
TMC-Stage1,0.0008938312530517578,0.0004468560218811035,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,46,91047
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,47,91048
TMC-Stage1,0.0026279687881469727,0.0013140738010406494,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,47,91048
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,48,91049
TMC-Stage1,0.0018224716186523438,0.0018222928047180176,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,48,91049
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.24318718910217285,0.24318718910217285,0.0,8,49,91050
TMC-Stage1,0.04302990436553955,0.04192472994327545,1.0,0,0,0,6,6,0,1,1,0,6,0.22160407900810242,0.1377546191215515,-0.0838494598865509,8,49,91050
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,50,91051
TMC-Stage1,0.0037910938262939453,0.0018955767154693604,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,50,91051
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,51,91052
TMC-Stage1,0.00498509407043457,0.0024924874305725098,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,51,91052
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,52,91053
TMC-Stage1,0.0022430419921875,0.0011214911937713623,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,52,91053
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,53,91054
TMC-Stage1,0.0029621124267578125,0.0014810264110565186,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,53,91054
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.351656436920166,0.351656436920166,0.0,8,54,91055
TMC-Stage1,0.056674957275390625,0.05599462240934372,1.0,0,0,0,6,6,0,1,1,0,6,0.2672111243009567,0.1552218794822693,-0.11198924481868744,8,54,91055
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.4141101837158203,0.4141101837158203,0.0,8,55,91056
TMC-Stage1,0.04327523708343506,0.041533127427101135,1.0,1,1,0,6,6,0,1,1,0,6,0.17157116532325745,0.08850491046905518,-0.08306625485420227,8,55,91056
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.21145081520080566,-0.21145081520080566,0.0,8,56,91057
TMC-Stage1,0.04202568531036377,0.04031313955783844,1.0,0,0,0,6,6,0,1,1,0,5,-0.13158166408538818,-0.21220794320106506,-0.08062627911567688,8,56,91057
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.39034342765808105,0.39034342765808105,0.0,8,57,91058
TMC-Stage1,0.05815315246582031,0.05706535279750824,0.9761904761904763,1,1,0,6,6,0,1,1,0,6,0.2965082377195358,0.18237753212451935,-0.11413070559501648,8,57,91058
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,58,91059
TMC-Stage1,0.0029821395874023438,0.0014911293983459473,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,58,91059
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.4778798818588257,0.4778798818588257,0.0,8,59,91060
TMC-Stage1,0.043370962142944336,0.040321215987205505,1.0,0,0,0,6,6,0,1,1,0,6,0.22778171300888062,0.1471392810344696,-0.08064243197441101,8,59,91060
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,60,91061
TMC-Stage1,2.384185791015625e-07,1.4901161193847656e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,60,91061
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,61,91062
TMC-Stage1,0.0017493367195129395,0.0017491728067398071,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,61,91062
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,62,91063
TMC-Stage1,4.76837158203125e-07,2.086162567138672e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,62,91063
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,1,-0.39318597316741943,-0.39318597316741943,0.0,12,63,91064
TMC-Stage1,0.0549999475479126,0.036666542291641235,1.0,0,0,0,6,6,0,1,1,0,1,-0.18984846025705338,-0.27234817296266556,-0.08249971270561218,12,63,91064
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,4,-0.20706725120544434,-0.20706725120544434,0.0,8,64,91065
