baseline,arrival_rate_rps,baseline_avg_e2e_ms,full_avg_e2e_ms,avg_e2e_reduction_pct,baseline_p95_e2e_ms,full_p95_e2e_ms,p95_e2e_reduction_pct,baseline_slo,full_slo,slo_gain_pp,baseline_throughput,full_throughput,throughput_gain_pct,baseline_goodput,full_goodput,goodput_gain_pct
NoBatch-LB,0.4,4634.488460400007,3282.584271940348,29.170515797184116,8324.215781824349,6684.844760386009,19.693999583935014,0.4483333333333333,0.5525,10.416666666666668,0.3912260645275557,0.4240964349827701,8.401886641910895,0.1782499252278441,0.2335510800230916,31.024503782854325
Fixed4-LB,0.4,3662.174019172443,3282.584271940348,10.365147730414852,6997.658257338187,6684.844760386009,4.470259699009193,0.4866666666666666,0.5525,6.583333333333341,0.4198322387822594,0.4240964349827701,1.0156905083990675,0.2027014347337287,0.2335510800230916,15.219253543956118
SeqGreedy-LB,0.4,3604.4937950993217,3282.584271940348,8.930783112919837,7074.732550405869,6684.844760386009,5.510989811162444,0.4916666666666666,0.5525,6.083333333333341,0.4185052475690408,0.4240964349827701,1.3359897985047244,0.2040937613385767,0.2335510800230916,14.433228380581095
LECU-RBA (adapted),0.4,6066.502177767127,3282.584271940348,45.890000930510574,11995.997676512774,6684.844760386009,44.274374331745555,0.2916666666666666,0.5525,26.083333333333343,0.3693906814577129,0.4240964349827701,14.80972755164637,0.1120154143786887,0.2335510800230916,108.49905463325722
DyBAP-Adapted,0.4,6415.589412897859,3282.584271940348,48.83425262001552,11558.396416139243,6684.844760386009,42.16460035016784,0.365,0.5525,18.75,0.3760332604783771,0.4240964349827701,12.781628530212627,0.1470359730139484,0.2335510800230916,58.83941544082959
NoBatch-LB,0.6,6174.548205895466,3963.2624965943255,35.81291514073535,10548.91004139684,7531.022197028596,28.608527634847757,0.3416666666666666,0.4541666666666666,11.249999999999998,0.4713827434802023,0.5637014437029647,19.58465843301277,0.1712942388239429,0.2594787625804058,51.48131330155208
Fixed4-LB,0.6,4576.46764869708,3963.2624965943255,13.3990929068915,8101.585192004496,7531.022197028596,7.042609334516318,0.3941666666666666,0.4541666666666666,6.0,0.5436815951450027,0.5637014437029647,3.682274466661432,0.2183152133550903,0.2594787625804058,18.855098823719114
SeqGreedy-LB,0.6,4404.971909970622,3963.2624965943255,10.027519412246198,8130.406038040824,7531.022197028596,7.372126781956648,0.4016666666666666,0.4541666666666666,5.249999999999999,0.5470655961846239,0.5637014437029647,3.0409237273123138,0.2228378103217554,0.2594787625804058,16.4428793326162
LECU-RBA (adapted),0.6,7124.651074747013,3963.2624965943255,44.37253901960306,13252.575894770598,7531.022197028596,43.17314417342594,0.2191666666666666,0.4541666666666666,23.5,0.4591968846382206,0.5637014437029647,22.758115867244673,0.1080592751421583,0.2594787625804058,140.12632163138824
DyBAP-Adapted,0.6,7707.373498670171,3963.2624965943255,48.57829976349082,13449.978541817452,7531.022197028596,44.0071805794052,0.2891666666666666,0.4541666666666666,16.499999999999996,0.4641261290651065,0.5637014437029647,21.454365182678618,0.1495623789164779,0.2594787625804058,73.49200010071382
