episode_seed,mapping_id,node_id,group_size,batch_size,selected_matches_baseline,candidate_count,risk_reducing_count,best_relative_regret,best_absolute_regret,best_risk_reduction,best_candidate_ids,baseline_ids,accepted_rel_0p01,max_risk_reduction_rel_0p01,accepted_rel_0p02,max_risk_reduction_rel_0p02,accepted_rel_0p05,max_risk_reduction_rel_0p05,accepted_rel_0p1,max_risk_reduction_rel_0p1
20022,4,cloud_0,1,3,1,1,0,,,,,r0006|r0011|r0013,0,,0,,0,,0,
20023,0,cloud_0,1,1,1,1,0,,,,,r0017,0,,0,,0,,0,
20023,1,cloud_0,1,6,1,22,0,,,,,r0001|r0002|r0003|r0012|r0014|r0020,0,,0,,0,,0,
20023,2,cloud_0,1,5,1,1,0,,,,,r0000|r0005|r0007|r0015|r0023,0,,0,,0,,0,
20024,0,cloud_0,1,1,1,1,0,,,,,r0014,0,,0,,0,,0,
20024,1,cloud_0,1,6,1,22,6,0.1612932451613181,1.2698330639403776,0.2188241607710453,r0001|r0003|r0005|r0012|r0020|r0022,r0001|r0003|r0005|r0019|r0020|r0022,0,,0,,0,,0,
20024,2,cloud_0,1,3,1,1,0,,,,,r0009|r0012|r0015,0,,0,,0,,0,
20024,3,cloud_0,1,2,1,1,0,,,,,r0010|r0018,0,,0,,0,,0,
20025,0,cloud_0,1,1,1,1,0,,,,,r0015,0,,0,,0,,0,
20025,1,cloud_0,1,2,1,1,0,,,,,r0005|r0014,0,,0,,0,,0,
20025,2,cloud_0,1,1,1,1,0,,,,,r0021,0,,0,,0,,0,
20025,3,cloud_0,1,6,1,16,0,,,,,r0000|r0007|r0012|r0013|r0020|r0023,0,,0,,0,,0,
20025,4,cloud_0,1,2,1,1,0,,,,,r0003|r0008,0,,0,,0,,0,
20026,0,cloud_0,1,1,1,1,0,,,,,r0022,0,,0,,0,,0,
20026,1,cloud_0,1,2,1,1,0,,,,,r0000|r0006,0,,0,,0,,0,
20026,2,cloud_0,1,3,1,1,0,,,,,r0004|r0020|r0021,0,,0,,0,,0,
20026,3,cloud_0,1,1,1,1,0,,,,,r0016,0,,0,,0,,0,
20026,4,cloud_0,1,1,1,1,0,,,,,r0018,0,,0,,0,,0,
20026,5,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20026,6,cloud_0,1,2,1,1,0,,,,,r0012|r0019,0,,0,,0,,0,
20026,7,cloud_0,1,1,1,1,0,,,,,r0003,0,,0,,0,,0,
20027,0,cloud_0,1,1,1,1,0,,,,,r0000,0,,0,,0,,0,
20027,1,cloud_0,1,1,1,1,0,,,,,r0018,0,,0,,0,,0,
20027,2,cloud_0,1,2,1,4,0,,,,,r0003|r0013,0,,0,,0,,0,
20027,3,cloud_0,1,3,1,7,0,,,,,r0005|r0012|r0017,0,,0,,0,,0,
20027,4,cloud_0,1,5,1,1,0,,,,,r0001|r0010|r0011|r0014|r0021,0,,0,,0,,0,
20028,0,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20028,1,cloud_0,1,2,1,1,0,,,,,r0000|r0001,0,,0,,0,,0,
20028,2,cloud_0,1,1,1,1,0,,,,,r0020,0,,0,,0,,0,
20028,3,cloud_0,1,1,1,1,0,,,,,r0019,0,,0,,0,,0,
20028,4,cloud_0,1,1,1,1,0,,,,,r0013,0,,0,,0,,0,
20028,5,cloud_0,1,3,1,4,0,,,,,r0014|r0016|r0017,0,,0,,0,,0,
20028,6,cloud_0,1,2,1,3,0,,,,,r0011|r0022,0,,0,,0,,0,
20028,7,cloud_0,1,1,1,1,0,,,,,r0010,0,,0,,0,,0,
20029,0,cloud_0,1,1,1,1,0,,,,,r0015,0,,0,,0,,0,
20029,1,cloud_0,1,2,1,1,0,,,,,r0000|r0017,0,,0,,0,,0,
20029,2,cloud_0,1,5,1,1,0,,,,,r0005|r0006|r0008|r0020|r0023,0,,0,,0,,0,
20029,3,cloud_0,1,3,1,1,0,,,,,r0009|r0014|r0016,0,,0,,0,,0,
20029,4,cloud_0,1,1,1,1,0,,,,,r0012,0,,0,,0,,0,
20030,0,cloud_0,1,1,1,1,0,,,,,r0017,0,,0,,0,,0,
20030,1,cloud_0,1,3,1,1,0,,,,,r0000|r0007|r0014,0,,0,,0,,0,
20030,2,cloud_0,1,1,1,1,0,,,,,r0004,0,,0,,0,,0,
20030,3,cloud_0,1,3,1,4,1,0.1266500730070335,0.6889675494987619,0.0002208514841098297,r0006|r0009|r0013,r0005|r0006|r0009,0,,0,,0,,0,
20030,4,cloud_0,1,3,1,4,0,,,,,r0001|r0020|r0022,0,,0,,0,,0,
20030,5,cloud_0,1,1,1,1,0,,,,,r0013,0,,0,,0,,0,
20031,0,edge_2,1,1,1,1,0,,,,,r0023,0,,0,,0,,0,
20031,1,edge_2,1,1,1,1,0,,,,,r0009,0,,0,,0,,0,
20031,2,edge_2,1,1,1,1,0,,,,,r0003,0,,0,,0,,0,
