tag,rho,phase,batch_size,token_length,idle_latency_ms,loaded_latency_ms,slowdown
0p60,0.5710000000000001,decode,4,512,8.181745506590232,12.11042152135633,1.480175778090583
0p60,0.5710000000000001,prefill,4,2048,220.19135049777103,287.03702200436965,1.3035799151759837
0p60,0.5710000000000001,decode,4,2048,8.783786033745855,12.475086492486298,1.4202402522738005
0p60,0.5710000000000001,prefill,8,128,27.921073517063636,43.74633397674188,1.5667855302915492
0p60,0.5710000000000001,decode,8,128,8.37525152019225,11.921730474568903,1.4234474565720558
0p60,0.5710000000000001,prefill,8,512,115.2027269708924,147.54228098900057,1.2807186502302088
0p60,0.5710000000000001,decode,8,512,8.378755010198802,11.700042494339868,1.3963939129498744
0p60,0.5710000000000001,prefill,8,2048,460.893183510052,601.5701710130088,1.305226878018882
0p60,0.5710000000000001,decode,8,2048,9.506496513495222,15.261087013641372,1.6053324157829392
0p75,0.7406666666666666,prefill,1,128,9.704360971227288,14.220427488908172,1.4653646469943447
0p75,0.7406666666666666,decode,1,128,7.804263004800305,10.1263030373957,1.2975348256673485
0p75,0.7406666666666666,prefill,1,512,17.395510483765975,27.603575988905504,1.5868218420302187
0p75,0.7406666666666666,decode,1,512,7.858842494897544,11.282699997536838,1.4356694392160523
0p75,0.7406666666666666,prefill,1,2048,58.184588997391984,79.36113001778722,1.363954466041591
0p75,0.7406666666666666,decode,1,2048,8.022293506655842,11.515693506225944,1.4354615044527776
0p75,0.7406666666666666,prefill,4,128,17.00685449759476,27.2465150046628,1.6020902047769159
0p75,0.7406666666666666,decode,4,128,8.005507988855243,12.542558484710751,1.5667411115161838
0p75,0.7406666666666666,prefill,4,512,55.5886410002131,67.4742560076993,1.2138137359292636
0p75,0.7406666666666666,decode,4,512,8.181745506590232,12.74916302645579,1.5582448777203586
0p75,0.7406666666666666,prefill,4,2048,220.19135049777103,317.0097320107743,1.4397011113022051
0p75,0.7406666666666666,decode,4,2048,8.783786033745855,13.614113006042317,1.549914006755076
0p75,0.7406666666666666,prefill,8,128,27.921073517063636,46.044284012168646,1.6490871665098845
0p75,0.7406666666666666,decode,8,128,8.37525152019225,9.683736512670292,1.1562323220172384
0p75,0.7406666666666666,prefill,8,512,115.2027269708924,162.29062000638805,1.408739395964065
0p75,0.7406666666666666,decode,8,512,8.378755010198802,12.276325491257012,1.465172985284091
0p75,0.7406666666666666,prefill,8,2048,460.893183510052,654.7858294798061,1.42068889909179
0p75,0.7406666666666666,decode,8,2048,9.506496513495222,15.318802994443104,1.6114036304222965
