node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,idle_ms,rho,slowdown,slowdown_pct,tag
edge_fast,decode,8,128,28,11.921730474568903,3.2038450241088867,8.37525152019225,0.5710000000000001,1.4234474565720558,42.344745657205586,0p60
edge_fast,prefill,8,512,28,147.54228098900057,4.165493011474609,115.2027269708924,0.5710000000000001,1.2807186502302088,28.07186502302088,0p60
edge_fast,decode,8,512,28,11.700042494339868,4.156306266784668,8.378755010198802,0.5710000000000001,1.3963939129498744,39.63939129498743,0p60
edge_fast,prefill,8,2048,28,601.5701710130088,8.00551986694336,460.893183510052,0.5710000000000001,1.305226878018882,30.522687801888203,0p60
edge_fast,decode,8,2048,28,15.261087013641372,7.966894626617432,9.506496513495222,0.5710000000000001,1.6053324157829392,60.53324157829392,0p60
edge_fast,prefill,1,128,28,14.220427488908172,2.925077438354492,9.704360971227288,0.7406666666666666,1.4653646469943447,46.53646469943447,0p75
edge_fast,decode,1,128,28,10.1263030373957,2.9250259399414062,7.804263004800305,0.7406666666666666,1.2975348256673485,29.753482566734846,0p75
edge_fast,prefill,1,512,28,27.603575988905504,3.04446792602539,17.395510483765975,0.7406666666666666,1.5868218420302187,58.68218420302187,0p75
edge_fast,decode,1,512,28,11.282699997536838,3.043076515197754,7.858842494897544,0.7406666666666666,1.4356694392160523,43.56694392160523,0p75
edge_fast,prefill,1,2048,28,79.36113001778722,3.5248374938964844,58.184588997391984,0.7406666666666666,1.363954466041591,36.3954466041591,0p75
edge_fast,decode,1,2048,28,11.515693506225944,3.561000347137451,8.022293506655842,0.7406666666666666,1.4354615044527776,43.54615044527777,0p75
edge_fast,prefill,4,128,28,27.2465150046628,3.04446792602539,17.00685449759476,0.7406666666666666,1.6020902047769159,60.20902047769159,0p75
edge_fast,decode,4,128,28,12.542558484710751,3.044468879699707,8.005507988855243,0.7406666666666666,1.5667411115161838,56.674111151618376,0p75
edge_fast,prefill,4,512,28,67.4742560076993,3.5248374938964844,55.5886410002131,0.7406666666666666,1.2138137359292636,21.381373592926355,0p75
edge_fast,decode,4,512,28,12.74916302645579,3.56173038482666,8.181745506590232,0.7406666666666666,1.5582448777203586,55.82448777203586,0p75
edge_fast,prefill,4,2048,28,317.0097320107743,5.444850921630859,220.19135049777103,0.7406666666666666,1.4397011113022051,43.970111130220516,0p75
edge_fast,decode,4,2048,28,13.614113006042317,5.425539493560791,8.783786033745855,0.7406666666666666,1.549914006755076,54.991400675507606,0p75
edge_fast,prefill,8,128,28,46.044284012168646,3.204265594482422,27.921073517063636,0.7406666666666666,1.6490871665098845,64.90871665098845,0p75
edge_fast,decode,8,128,28,9.683736512670292,3.2038450241088867,8.37525152019225,0.7406666666666666,1.1562323220172384,15.623232201723836,0p75
edge_fast,prefill,8,512,28,162.29062000638805,4.165493011474609,115.2027269708924,0.7406666666666666,1.408739395964065,40.87393959640651,0p75
edge_fast,decode,8,512,28,12.276325491257012,4.156306266784668,8.378755010198802,0.7406666666666666,1.465172985284091,46.51729852840909,0p75
edge_fast,prefill,8,2048,28,654.7858294798061,8.00551986694336,460.893183510052,0.7406666666666666,1.42068889909179,42.068889909179006,0p75
edge_fast,decode,8,2048,28,15.318802994443104,7.966894626617432,9.506496513495222,0.7406666666666666,1.6114036304222965,61.14036304222965,0p75
