episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20033,r0014,0,22552.81253092661,18391.986334256504,-0.18449256344255854,0.2,1,1,1,2199.458407086992,2199.458407086992,100.458984375,100.458984375,0.0,0.0,0.0,726.3815080681968,345,15
20033,r0004,0,2121.4145000650387,1725.2174752990204,-0.18676077907163902,0.2,0,1,0,2177.6151969415114,0.0,142.2471998478522,0.0,142.2471998478522,142.2471998478522,0.0,0.0,32,28
20035,r0008,0,17412.800901482617,19340.763533189136,0.11072099443475314,0.2,1,1,1,1325.5704946902902,0.0,0.0,0.0,0.0,0.0,1325.5704946902902,361.89694352084103,271,18
20035,r0010,0,5226.890806896357,5358.791837055253,0.025235084303821015,0.2,1,1,1,1380.6375547571158,1248.7365245982219,107.03055759975935,107.03055759975935,0.0,0.0,131.90103015889395,131.0168217965015,81,18
20035,r0018,0,1305.001133779646,1182.4955972255423,-0.09387389281363574,0.2,1,1,1,764.3842716619854,764.3842716619854,37.6171875,37.6171875,0.0,0.0,0.0,41.07879869344609,20,5
20036,r0002,0,13060.20742070592,12805.767653211886,-0.019482061754290292,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526,0
20038,r0018,0,0.0,0.0,0.1098426750089797,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20038,r0010,0,0.0,0.0,-0.11292084154663971,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20043,r0003,0,37339.903585216176,32874.17562523538,-0.11959666552939074,0.2,1,1,1,1548.6757134633299,1548.6757134633299,101.15625,101.15625,0.0,0.0,0.0,807.1269805361457,547,16
20043,r0005,0,6531.552143409426,6494.434404358989,-0.00568283590721852,0.2,1,1,1,1577.9473739736136,1577.9473739736136,103.125,103.125,0.0,0.0,0.0,182.6648896500958,99,16
20044,r0015,0,28723.360832577204,33142.99426879223,0.1538689522433045,0.2,0,1,0,1595.5580274052063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254,15
20044,r0000,0,6591.957442986808,7334.871214051677,0.11270002537034823,0.2,0,1,0,397.7326927543927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,17
20044,r0009,0,2130.6296173573355,2120.346265300434,-0.004826438144446665,0.2,1,1,1,1577.7718544700354,1577.7718544700354,102.216796875,102.216796875,0.0,0.0,0.0,104.56694597024024,18,15
20044,r0008,0,100.84987375932542,114.16574695567992,0.13203658765237875,0.2,1,1,1,1769.6084339850959,100.84987375932542,6.581669911300876,6.581669911300876,0.0,0.0,1668.7585602257705,0.0,0,15
20044,r0004,0,23882.993667627634,22015.413083939446,-0.07819708909522577,0.2,1,1,1,1410.0736525098496,1410.0736525098496,90.615234375,90.615234375,0.0,0.0,0.0,358.14856748686776,203,15
20044,r0020,0,25741.705741086662,23967.615498324318,-0.06891890772920678,0.2,1,1,1,1573.9605316982127,1573.9605316982127,101.953125,101.953125,0.0,0.0,0.0,378.4756222699207,219,15
20046,r0005,0,21480.852618291123,19920.08463674824,-0.07265856757537997,0.2,1,1,1,2734.238369793884,2734.238369793884,97.20703125,97.20703125,0.0,0.0,0.0,492.59116350998806,184,15
20046,r0000,0,2217.164022013196,2320.7669050833574,0.04672765841477519,0.2,0,1,0,1005.5928560543502,0.0,31.140040909047947,0.0,31.140040909047947,31.140040909047947,0.0,0.0,18,15
20046,r0017,0,0.0,0.0,-0.0793056242929064,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
