episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
13,0.2,-413.190155725969,12,0,1.0,4,3.0,103925.47008398028,38793.40543311995,76601.27469995808,0.0,0.11546736320079204,0.0,32,567,16.237740993499756,0.9820450000000001
14,0.1,-436.6995093895536,12,0,1.0,7,1.7142857142857142,105405.65694319042,18887.801383201393,41200.428797311295,0.0,0.11384588216614917,0.0,63,630,2.495242089033127,0.98005
15,0.4,-354.73945609848994,12,0,1.0,4,3.0,101248.811622054,32246.48194547661,82957.41919473866,0.0,0.11851990959453555,0.0,41,671,1.578981801867485,0.9787516666666667
16,0.4,-259.12310741000204,12,0,1.0,4,3.0,70617.7712162224,27229.11781815454,49881.47096183151,0.0,0.16992889740540756,0.0,32,703,8.56595253944397,0.9777383333333334
17,0.6,-520.8878711873936,12,0,1.0,4,3.0,135255.6372129171,49067.58314647799,115041.17949818735,0.0,0.08872088622162053,0.0,40,743,16.11057996749878,0.9764716666666666
18,0.1,-855.1174211450948,12,0,1.0,9,1.3333333333333333,208999.01152543753,27870.857754089146,52937.268725896,0.08333333333333337,0.057416539496596926,0.00478471162471641,84,827,4.937115907669067,0.9738116666666666
19,0.1,-1050.8400394060977,12,0,1.0,8,1.5,250186.81763119344,45261.897783587105,117240.02260506923,0.08333333333333337,0.04796415779863149,0.003997013149885958,79,906,8.402877688407898,0.97131
20,0.6,-613.1079635535664,12,0,1.0,3,4.0,140887.46048907147,87673.7230701743,133067.45526830593,0.0,0.08517436511626833,0.0,30,936,4.3361804485321045,0.97036
21,0.6,-358.2669814172486,12,0,1.0,4,3.0,77995.6886500213,41872.1355637711,59126.18012459066,0.0,0.15385465796508127,0.0,34,970,4.981657147407532,0.9692833333333334
22,0.2,-382.6879624810468,12,0,1.0,3,4.0,109078.3120750791,42020.35890675722,86718.19778661514,0.0,0.11001270345786379,0.0,36,1006,5.951314032077789,0.9681433333333334
23,0.6,-305.1161162602266,12,0,1.0,4,3.0,64736.222928694464,25156.156766243872,55258.02720584948,0.08333333333333337,0.18536762661018605,0.015447302217515505,33,1039,5.980677366256714,0.9670983333333333
24,0.1,-473.10614963662334,12,0,1.0,6,2.0,116581.38776184735,40098.51808083177,63312.46911537849,0.08333333333333337,0.10293238252158757,0.008577698543465632,61,1100,5.014510348439217,0.9651666666666666
25,0.4,-306.1868054572172,12,0,1.0,3,4.0,88204.96352871181,38153.96186785818,74716.93551337939,0.0,0.136046765623273,0.0,30,1130,24.64988374710083,0.9642166666666667
26,0.4,-561.6945288263855,12,0,1.0,4,3.0,133876.15535196062,69752.12697659536,121683.42341596838,0.0,0.08963508078381831,0.0,38,1168,7.072747051715851,0.9630133333333333
27,0.2,-695.0771162812268,12,0,1.0,4,3.0,149803.75239258044,58767.71300873504,128903.62793391662,0.0,0.08010480250556355,0.0,41,1209,10.46727006137371,0.961715
28,0.2,-655.4838685185052,12,0,1.0,6,2.0,145374.1829121909,37533.91353015247,107678.79458123316,0.0,0.08254560582636776,0.0,66,1275,6.3622636795043945,0.959625
29,0.4,-432.5714134932446,12,0,1.0,7,1.7142857142857142,94053.81769902931,24132.225703429343,78451.85876912216,0.16666666666666663,0.12758652751767935,0.021264421252946558,64,1339,1.276729792356491,0.9575983333333333
30,0.2,-378.531233657078,12,0,1.0,4,3.0,125939.53401894053,43897.68467424274,75613.64131410254,0.0,0.09528382087069875,0.0,36,1375,10.827331848442554,0.9564583333333333
31,0.1,-546.2774095593065,12,0,1.0,6,2.0,138128.64604964404,28187.836146445054,47175.75086454115,0.0,0.08687553482343661,0.0,62,1437,7.105645447969437,0.954495
32,0.6,-384.4757015427539,12,0,1.0,4,3.0,111511.69509608745,60183.53002502947,97030.28983164048,0.0,0.10761203109377751,0.0,44,1481,5.458845376968384,0.9531016666666666
33,0.1,-677.6978504560115,12,0,1.0,7,1.7142857142857142,187069.21454226927,30841.829629477113,70953.65123682069,0.0,0.0641473800452,0.0,60,1541,3.726541042327881,0.9512016666666667
