episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
14,0.4,-505.13977363360345,12,0,1.0,4,3.0,108222.33177302546,52730.40744912506,89070.50952310365,0.0,0.11088284463476154,0.0,45,785,14.187601566314697,0.9751416666666667
15,0.4,-561.4811804297273,12,0,1.0,6,2.0,129760.48029829317,71670.04841329285,116532.50691479704,0.0,0.09247807939994072,0.0,68,853,1.9592360705137253,0.9729883333333333
16,0.6,-306.69351984583636,12,0,1.0,5,2.4,107646.3522125144,34240.10115944373,75872.95512574926,0.0,0.11147614158173903,0.0,58,911,6.030006408691406,0.9711516666666666
17,0.1,-588.2586894332217,12,0,1.0,10,1.2,141658.63571541753,16799.47132449467,35640.77913718536,0.08333333333333337,0.08471068452266599,0.007059223710222166,90,1001,7.654534578323364,0.9683016666666666
18,0.1,-862.641055412283,12,0,1.0,9,1.3333333333333333,200491.3875146902,31097.330267549416,69386.75982862506,0.08333333333333337,0.05985294505042392,0.00498774542086866,86,1087,0.02304217778146267,0.9655783333333333
19,0.4,-428.65270037457185,12,0,1.0,4,3.0,99767.35417240577,46325.47881843347,79821.5492080811,0.0,0.12027982599661872,0.0,43,1130,5.514460563659668,0.9642166666666667
20,0.4,-480.92062269392324,12,0,1.0,5,2.4,107915.06007371092,33406.5491076042,72210.51789016159,0.0,0.11119856664865359,0.0,54,1184,0.6636296943761408,0.9625066666666666
21,0.1,-490.63636918157965,12,0,1.0,6,2.0,126103.82199494707,40594.872937411536,89562.7957787396,0.08333333333333337,0.09515968517180103,0.007929973764316752,60,1244,10.58419132232666,0.9606066666666667
22,0.6,-299.9882250857244,12,0,1.0,5,2.4,75211.95578360124,31170.768485314537,63522.64027357927,0.0,0.15954910193435506,0.0,46,1290,2.064479649066925,0.95915
23,0.1,-409.27794318266217,12,0,1.0,12,1.0,272787.7270633657,8289.418738023856,16528.021948646452,0.16666666666666663,0.043990248861938454,0.007331708143656408,108,1398,23.469828128814697,0.95573
24,0.2,-522.8626351593563,12,0,1.0,8,1.5,115281.15934977077,20893.64074674766,39679.57617409491,0.0,0.10409333205603177,0.0,80,1478,4.11214292049408,0.9531966666666667
25,0.1,-844.5520720053239,12,0,1.0,7,1.7142857142857142,194809.609452156,54694.80142967756,98137.57618491385,0.0,0.06159860406140347,0.0,73,1551,4.063628040254116,0.950885
26,0.2,-390.09967073401845,12,0,1.0,6,2.0,96300.83325752507,25075.13076659611,51777.738093096465,0.0,0.124609513688318,0.0,48,1599,17.73902201652527,0.949365
27,0.4,-455.1944685694922,12,0,1.0,6,2.0,103431.5606401363,39658.43272178303,76404.37624031721,0.0,0.11601874636457372,0.0,53,1652,3.968998908996582,0.9476866666666667
28,0.4,-235.41762979161666,12,0,1.0,4,3.0,62434.013898034646,24348.723839492828,50139.57084531422,0.0,0.1922029235473798,0.0,34,1686,2.6530746668577194,0.94661
29,0.2,-566.0548244612544,12,0,1.0,6,2.0,136789.37183133644,40111.169673838995,77750.32789077953,0.0,0.08772611380068474,0.0,61,1747,20.761464595794678,0.9446783333333333
30,0.4,-552.5908825856209,12,0,1.0,4,3.0,143805.76420875214,62272.14530432135,121857.1095518222,0.0,0.08344589012844082,0.0,47,1794,21.883325576782227,0.94319
31,0.6,-544.1468899213819,12,0,1.0,3,4.0,128046.49491196718,81874.08931000573,114486.09871831478,0.0,0.09371595847469374,0.0,27,1821,7.456851119175553,0.942335
32,0.2,-454.31233153461613,12,0,1.0,6,2.0,106688.00805091583,28089.30136579569,48373.589506382195,0.0,0.112477496011296,0.0,61,1882,20.865707874298096,0.9404033333333334
33,0.2,-645.6403452332122,12,0,1.0,4,3.0,140575.33559128124,65073.9377107781,117703.88602393706,0.08333333333333337,0.08536348107956616,0.007113623423297181,37,1919,5.991884775459766,0.9392316666666667
