episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
24,0.2,-704.821537602698,12,0,1.0,8,1.5,153062.67331668135,26539.26718706726,60075.582099641135,0.08333333333333337,0.07839925789857607,0.0065332714915480065,94,1360,,0.9569333333333333
25,0.1,-1025.6660170069242,12,0,1.0,8,1.5,238249.33613560823,62280.69039097826,135661.16036618303,0.0,0.050367401624866505,0.0,81,1441,,0.9543683333333334
26,0.2,-413.1665093542183,12,0,1.0,5,2.4,118316.88459378871,26423.883775762853,57337.538612181816,0.0,0.10142254878666712,0.0,51,1492,,0.9527533333333333
27,0.4,-434.3421741456333,12,0,1.0,6,2.0,114674.85945817089,39936.585853154356,87525.40432735013,0.0,0.10464368612875564,0.0,55,1547,,0.9510116666666667
28,0.4,-324.1051564357153,12,0,1.0,3,4.0,77839.12933197152,46105.46800533926,68021.0383040622,0.0,0.1541641087584871,0.0,29,1576,,0.9500933333333333
29,0.2,-591.7625238385494,12,0,1.0,5,2.4,159757.14580235945,50136.362702465405,85010.6705077766,0.0,0.07511401095538835,0.0,55,1631,,0.9483516666666667
30,0.4,-456.1026514600468,12,0,1.0,4,3.0,123871.64588677644,54640.42320471265,103050.22493799157,0.0,0.09687446965037076,0.0,37,1668,,0.94718
31,0.6,-504.7447162607855,12,0,1.0,3,4.0,114472.101331164,72660.27397095297,101238.60657477232,0.0,0.10482903572534584,0.0,21,1689,,0.946515
32,0.2,-538.9187953356927,12,0,1.0,6,2.0,142220.55121961003,36855.70614788538,83427.43115804024,0.08333333333333337,0.0843759913535294,0.007031332612794116,58,1747,,0.9446783333333333
33,0.2,-441.1760041961957,12,0,1.0,4,3.0,92696.52165082429,39795.736169030606,70258.04085895652,0.08333333333333337,0.12945469567026943,0.010787891305855786,27,1774,,0.9438233333333333
34,0.6,-324.6777757943595,12,0,1.0,4,3.0,105350.98078680079,32406.27452987603,82158.25506011727,0.0,0.11390496709550763,0.0,44,1818,,0.94243
35,0.2,-470.5640905491758,12,0,1.0,4,3.0,129513.84863385434,50047.466652178264,106300.34890450796,0.0,0.09265418429441416,0.0,44,1862,,0.9410366666666666
36,0.6,-264.0261916469759,12,0,1.0,4,3.0,77175.96998452106,27921.305893805617,72963.80815426935,0.0,0.15548881345329124,0.0,39,1901,,0.9398016666666666
