episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20013,r0016,0,1222.7791100842478,938.5598739938091,-0.2324371047448271,0.3,1,1,0,0.0,0.0,0.0,0.0,40,0
20013,r0014,0,304.5157517323896,317.5153919433313,0.04268954934838909,0.3,1,1,1,0.0,0.0,0.0,0.0,11,0
20013,r0014,1,9424.254929499883,9150.887247367815,-0.029006821672063365,0.3,1,1,0,0.0,0.0,0.0,0.0,336,0
20013,r0007,0,0.0,0.0,-0.08748282751377306,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20014,r0023,0,8033.333498555587,6456.626372451283,-0.19627059257378027,0.3,1,1,1,1233.1611351581885,1233.1611351581885,0.0,203.94604373135996,157,14
20014,r0011,0,1192.5081099565377,1316.8666962537166,0.10428322059940642,0.3,1,1,1,497.01850250088285,372.6599162037055,124.35858629717734,49.33301430176915,23,14
20014,r0008,0,403.9129086801677,368.45109827778,-0.08779568476348845,0.3,1,1,1,480.864902411224,403.9129086801677,76.95199373105635,30.398866212596857,7,14
20014,r0001,0,3369.025829460674,2657.6089803176455,-0.21116396405215884,0.3,1,1,1,480.864902411224,480.864902411224,0.0,94.33232883724706,62,14
20014,r0019,0,4177.453947950184,4389.613135139097,0.05078672077115687,0.3,1,1,1,807.3983899378972,595.2392027489841,212.15918718891305,117.40890039390241,82,14
20014,r0012,0,4760.991504192494,3708.3346183824106,-0.2211003495559951,0.3,1,1,1,1190.4694777783761,1190.4694777783761,0.0,127.79335759439732,91,14
20014,r0000,0,0.0,0.0,-0.26436945692533353,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20014,r0022,0,0.0,0.0,-0.12398981367582398,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20014,r0015,0,1028.6432234686072,1280.5000300779452,0.2448436939681295,0.3,1,1,1,1388.9279931656122,1028.6432234686072,360.284769697005,45.87152856827084,20,14
20014,r0015,1,3939.580890741534,3342.4435406220755,-0.15157382642473463,0.3,1,1,0,0.0,0.0,0.0,0.0,207,0
20014,r0006,0,0.0,0.0,0.19319886715207468,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20015,r0001,0,1818.1968261065635,1689.172795653067,-0.0709626309984189,0.3,1,1,1,0.0,0.0,0.0,0.0,98,0
20015,r0001,1,4687.515015508019,4495.175435265824,-0.04103231234585192,0.3,1,1,0,0.0,0.0,0.0,0.0,221,0
20015,r0013,0,272.1733977671702,210.28832264906754,-0.22737370964903048,0.3,1,1,1,0.0,0.0,0.0,0.0,12,0
20015,r0010,0,6647.610621599477,7388.476355028427,0.11144842494560714,0.3,1,1,0,0.0,0.0,0.0,0.0,373,0
20015,r0008,0,3965.262641813024,3456.3803297187565,-0.12833508346412917,0.3,1,1,1,0.0,0.0,0.0,0.0,187,0
20015,r0008,1,4682.965557835727,3914.9498332169032,-0.1640020015380529,0.3,1,1,1,0.0,0.0,0.0,0.0,216,0
20015,r0016,0,668.6981966894527,567.76489433214,-0.15093999483923654,0.3,1,1,0,0.0,0.0,0.0,0.0,36,0
20016,r0007,0,815.7664072119132,866.79818038183,0.06255684558565072,0.3,1,1,0,0.0,0.0,0.0,0.0,49,0
20016,r0002,0,0.0,0.0,0.25251487553816815,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20016,r0002,1,7957.920413877615,6304.245539825898,-0.2078023890723908,0.3,1,1,0,0.0,0.0,0.0,0.0,373,0
20016,r0019,0,1911.2185840690254,1797.0739405695583,-0.05972348974152958,0.3,1,1,0,0.0,0.0,0.0,0.0,100,0
20016,r0019,1,4634.78888843258,5926.977248407267,0.2788019888456424,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20016,r0004,0,5898.270123165592,5779.097108621763,-0.020204740043317848,0.3,1,1,1,0.0,0.0,0.0,0.0,310,0
