timestamp,input_tokens,output_tokens,request_type,source
2023-11-16 18:20:38.021401+00:00,3640,14,code,azure_2023
2023-11-16 18:20:38.123250+00:00,968,16,code,azure_2023
2023-11-16 18:20:38.123966+00:00,3376,118,code,azure_2023
2023-11-16 18:20:38.216183+00:00,2436,7,code,azure_2023
2023-11-16 18:20:38.716906+00:00,481,11,code,azure_2023
2023-11-16 18:20:38.719492+00:00,2165,10,code,azure_2023
2023-11-16 18:20:38.721652+00:00,103,13,code,azure_2023
2023-11-16 18:20:38.721664+00:00,3548,15,code,azure_2023
2023-11-16 18:20:38.922337+00:00,483,9,code,azure_2023
2023-11-16 18:20:39.020079+00:00,2113,145,code,azure_2023
2023-11-16 18:20:39.021172+00:00,2436,14,code,azure_2023
2023-11-16 18:20:39.024841+00:00,2437,13,code,azure_2023
2023-11-16 18:20:39.119797+00:00,1292,70,code,azure_2023
2023-11-16 18:20:39.120982+00:00,7429,9,code,azure_2023
2023-11-16 18:20:39.220942+00:00,7408,12,code,azure_2023
2023-11-16 18:20:39.221988+00:00,484,10,code,azure_2023
2023-11-16 18:20:39.223877+00:00,2575,16,code,azure_2023
2023-11-16 18:20:39.224937+00:00,2113,123,code,azure_2023
2023-11-16 18:20:39.318932+00:00,1282,15,code,azure_2023
2023-11-16 18:20:39.320473+00:00,2595,186,code,azure_2023
2023-11-16 18:20:39.418302+00:00,1852,12,code,azure_2023
2023-11-16 18:20:39.420758+00:00,878,17,code,azure_2023
2023-11-16 18:20:39.517634+00:00,945,9,code,azure_2023
2023-11-16 18:20:39.523229+00:00,7419,8,code,azure_2023
2023-11-16 18:20:39.523427+00:00,1148,39,code,azure_2023
2023-11-16 18:20:39.524380+00:00,55,6,code,azure_2023
2023-11-16 18:20:39.723091+00:00,239,10,code,azure_2023
2023-11-16 18:20:39.814912+00:00,55,8,code,azure_2023
2023-11-16 18:20:39.820645+00:00,56,9,code,azure_2023
2023-11-16 18:20:40.621469+00:00,486,16,code,azure_2023
2023-11-16 18:20:40.818199+00:00,176,88,code,azure_2023
2023-11-16 18:20:40.819154+00:00,881,12,code,azure_2023
2023-11-16 18:20:40.819419+00:00,1156,17,code,azure_2023
2023-11-16 18:20:42.523012+00:00,971,40,code,azure_2023
2023-11-16 18:20:42.523091+00:00,1006,7,code,azure_2023
2023-11-16 18:20:43.587309+00:00,2860,239,code,azure_2023
2023-11-16 18:20:43.587384+00:00,5219,8,code,azure_2023
2023-11-16 18:20:43.615850+00:00,1922,6,code,azure_2023
2023-11-16 18:20:43.618886+00:00,3378,8,code,azure_2023
2023-11-16 18:20:43.683661+00:00,2872,20,code,azure_2023
2023-11-16 18:20:43.720079+00:00,1175,9,code,azure_2023
2023-11-16 18:20:43.778943+00:00,6606,11,code,azure_2023
2023-11-16 18:20:43.786807+00:00,2005,13,code,azure_2023
2023-11-16 18:20:43.818037+00:00,882,11,code,azure_2023
2023-11-16 18:20:43.821189+00:00,881,8,code,azure_2023
2023-11-16 18:20:43.821299+00:00,1292,70,code,azure_2023
2023-11-16 18:20:43.880968+00:00,387,10,code,azure_2023
2023-11-16 18:20:43.984386+00:00,2172,14,code,azure_2023
2023-11-16 18:20:43.988322+00:00,2001,6,code,azure_2023
2023-11-16 18:20:44.082187+00:00,387,9,code,azure_2023
2023-11-16 18:20:44.083305+00:00,5423,9,code,azure_2023
2023-11-16 18:20:44.083447+00:00,35,17,code,azure_2023
2023-11-16 18:20:44.316133+00:00,879,14,code,azure_2023
2023-11-16 18:20:44.401044+00:00,917,11,code,azure_2023
2023-11-16 18:20:44.479375+00:00,4028,218,code,azure_2023
2023-11-16 18:20:44.515265+00:00,3379,7,code,azure_2023
2023-11-16 18:20:44.520780+00:00,3945,26,code,azure_2023
2023-11-16 18:20:45.383538+00:00,89,8,code,azure_2023
2023-11-16 18:20:45.383659+00:00,1202,7,code,azure_2023
2023-11-16 18:20:45.383766+00:00,6607,11,code,azure_2023
2023-11-16 18:20:45.481943+00:00,1294,6,code,azure_2023
2023-11-16 18:20:45.482017+00:00,6906,302,code,azure_2023
2023-11-16 18:20:45.482722+00:00,917,11,code,azure_2023
2023-11-16 18:20:45.489481+00:00,1096,16,code,azure_2023
2023-11-16 18:20:45.583307+00:00,1291,22,code,azure_2023
2023-11-16 18:20:45.677480+00:00,50,66,code,azure_2023
2023-11-16 18:20:45.778729+00:00,1847,8,code,azure_2023
2023-11-16 18:20:45.784881+00:00,736,21,code,azure_2023
2023-11-16 18:20:45.877981+00:00,5431,12,code,azure_2023
2023-11-16 18:20:46.163715+00:00,1575,28,code,azure_2023
2023-11-16 18:20:46.164764+00:00,727,7,code,azure_2023
2023-11-16 18:20:46.262369+00:00,45,16,code,azure_2023
2023-11-16 18:20:46.262448+00:00,2353,12,code,azure_2023
2023-11-16 18:20:46.361561+00:00,194,6,code,azure_2023
2023-11-16 18:20:46.367421+00:00,5881,6,code,azure_2023
2023-11-16 18:20:46.368375+00:00,3253,73,code,azure_2023
2023-11-16 18:20:46.458569+00:00,194,6,code,azure_2023
2023-11-16 18:20:46.461595+00:00,1233,153,code,azure_2023
2023-11-16 18:20:46.463363+00:00,195,13,code,azure_2023
2023-11-16 18:20:46.468739+00:00,195,14,code,azure_2023
2023-11-16 18:20:46.520372+00:00,2596,13,code,azure_2023
2023-11-16 18:20:46.523575+00:00,1258,16,code,azure_2023
2023-11-16 18:20:46.559069+00:00,5697,19,code,azure_2023
2023-11-16 18:20:46.559319+00:00,1031,9,code,azure_2023
2023-11-16 18:20:46.564992+00:00,5699,7,code,azure_2023
2023-11-16 18:20:46.565033+00:00,1648,10,code,azure_2023
2023-11-16 18:20:46.622057+00:00,552,12,code,azure_2023
2023-11-16 18:20:46.622099+00:00,1861,9,code,azure_2023
2023-11-16 18:20:46.659121+00:00,4681,58,code,azure_2023
2023-11-16 18:20:46.659229+00:00,5801,7,code,azure_2023
2023-11-16 18:20:46.665449+00:00,729,17,code,azure_2023
2023-11-16 18:20:46.715119+00:00,879,8,code,azure_2023
2023-11-16 18:20:46.762108+00:00,5886,8,code,azure_2023
2023-11-16 18:20:46.762120+00:00,3765,9,code,azure_2023
2023-11-16 18:20:46.763139+00:00,3760,13,code,azure_2023
2023-11-16 18:20:46.765054+00:00,53,42,code,azure_2023
2023-11-16 18:20:46.822316+00:00,108,15,code,azure_2023
2023-11-16 18:20:47.529132+00:00,134,6,code,azure_2023
2023-11-16 18:20:47.616965+00:00,7436,10,code,azure_2023
2023-11-16 18:20:47.618093+00:00,58,13,code,azure_2023
2023-11-16 18:20:47.916468+00:00,63,8,code,azure_2023
2023-11-16 18:20:47.919517+00:00,1863,15,code,azure_2023
2023-11-16 18:20:48.165995+00:00,65,16,code,azure_2023
2023-11-16 18:20:48.262506+00:00,2670,6,code,azure_2023
2023-11-16 18:20:48.268324+00:00,5801,91,code,azure_2023
2023-11-16 18:20:48.368459+00:00,5801,37,code,azure_2023
2023-11-16 18:20:48.388513+00:00,52,18,code,azure_2023
2023-11-16 18:20:48.480181+00:00,92,15,code,azure_2023
2023-11-16 18:20:48.563425+00:00,1291,48,code,azure_2023
2023-11-16 18:20:48.567132+00:00,1916,9,code,azure_2023
2023-11-16 18:20:48.580428+00:00,4030,72,code,azure_2023
2023-11-16 18:20:48.589437+00:00,2555,11,code,azure_2023
2023-11-16 18:20:48.618486+00:00,130,13,code,azure_2023
2023-11-16 18:20:48.622860+00:00,768,11,code,azure_2023
2023-11-16 18:20:48.663249+00:00,1469,10,code,azure_2023
2023-11-16 18:20:48.665390+00:00,1879,18,code,azure_2023
2023-11-16 18:20:48.667404+00:00,2241,10,code,azure_2023
2023-11-16 18:20:48.668340+00:00,2976,16,code,azure_2023
2023-11-16 18:20:48.668347+00:00,201,121,code,azure_2023
2023-11-16 18:20:48.719617+00:00,945,9,code,azure_2023
2023-11-16 18:20:48.719768+00:00,111,23,code,azure_2023
2023-11-16 18:20:48.785697+00:00,53,44,code,azure_2023
2023-11-16 18:20:48.815536+00:00,2174,8,code,azure_2023
2023-11-16 18:20:48.815614+00:00,2215,16,code,azure_2023
2023-11-16 18:20:48.879236+00:00,6611,10,code,azure_2023
2023-11-16 18:20:48.879260+00:00,1747,9,code,azure_2023
2023-11-16 18:20:48.879487+00:00,6919,16,code,azure_2023
2023-11-16 18:20:48.916519+00:00,6646,14,code,azure_2023
2023-11-16 18:20:48.922437+00:00,2608,33,code,azure_2023
2023-11-16 18:20:49.083102+00:00,2553,11,code,azure_2023
2023-11-16 18:20:49.086009+00:00,5442,11,code,azure_2023
2023-11-16 18:20:49.117088+00:00,110,12,code,azure_2023
2023-11-16 18:20:49.221893+00:00,324,10,code,azure_2023
2023-11-16 18:20:49.222045+00:00,883,10,code,azure_2023
2023-11-16 18:20:49.414409+00:00,928,6,code,azure_2023
2023-11-16 18:20:49.516952+00:00,1292,12,code,azure_2023
2023-11-16 18:20:49.517813+00:00,2608,34,code,azure_2023
2023-11-16 18:20:49.517958+00:00,2123,21,code,azure_2023
2023-11-16 18:20:49.814162+00:00,2116,33,code,azure_2023
2023-11-16 18:20:49.915257+00:00,2287,10,code,azure_2023
2023-11-16 18:20:49.916160+00:00,882,11,code,azure_2023
2023-11-16 18:20:50.480330+00:00,45,11,code,azure_2023
2023-11-16 18:20:50.584536+00:00,738,21,code,azure_2023
2023-11-16 18:20:50.789209+00:00,859,14,code,azure_2023
2023-11-16 18:20:50.878274+00:00,5452,10,code,azure_2023
2023-11-16 18:20:50.883671+00:00,6478,41,code,azure_2023
2023-11-16 18:20:50.984890+00:00,266,52,code,azure_2023
2023-11-16 18:20:50.986011+00:00,859,22,code,azure_2023
2023-11-16 18:20:50.987164+00:00,4035,25,code,azure_2023
2023-11-16 18:20:51.067946+00:00,4684,6,code,azure_2023
2023-11-16 18:20:51.079797+00:00,94,14,code,azure_2023
2023-11-16 18:20:51.085241+00:00,6918,49,code,azure_2023
2023-11-16 18:20:51.182795+00:00,50,20,code,azure_2023
2023-11-16 18:20:51.189301+00:00,6608,11,code,azure_2023
2023-11-16 18:20:51.280369+00:00,46,21,code,azure_2023
2023-11-16 18:20:51.386835+00:00,97,10,code,azure_2023
2023-11-16 18:20:51.577519+00:00,46,13,code,azure_2023
2023-11-16 18:20:51.578405+00:00,5461,13,code,azure_2023
