episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,anchor_confidence,prefetch_lambda_ms_per_mb,predicted_gain_ms,expected_gain_ms,guard_cost_ms,planned_prefetch_mb,guard_rejected,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20011,r0004,0,2094.9912845948197,2503.338164380294,0.19491578928666065,0.4,0.6,2.0,4.288311633544794e-12,2.5729869801268765e-12,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0
20011,r0004,1,3843.586409692358,4814.137004034128,0.25251171455241284,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0021,0,0.0,0.0,-0.02031434527309528,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0021,1,8453.19415425063,8058.245840097394,-0.04672178432748286,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0000,0,2258.061858778774,1567.7023407151528,-0.3057310035062492,0.4,0.6,2.0,4.161988815269872e-12,2.4971932891619234e-12,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0
20011,r0013,0,327.76853790532186,235.69245908625615,-0.2809179898946325,0.4,0.6,2.0,-1.4563600553412506e-11,-8.738160332047503e-12,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0013,1,9276.053522468059,6707.256377482107,-0.2769278054254346,0.4,0.6,2.0,-4.2460880438644866e-12,-2.547652826318692e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0008,0,7781.245532213865,8289.490324245235,0.06531663728220216,0.4,0.6,2.0,4.4200869691034804e-13,2.652052181462088e-13,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,0
20011,r0015,0,0.0,0.0,0.24915687985142776,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0023,0,0.0,0.0,-0.051702276136140035,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0005,0,4829.521158574313,3514.2301378282414,-0.2723439814340412,0.4,0.6,2.0,-7.059736980329965e-12,-4.235842188197979e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0015,0,0.0,0.0,-0.13815507572033797,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0007,0,0.0,0.0,-0.228099159776429,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0007,1,3461.0028403302094,3627.1640262816245,0.04800954914430583,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0009,0,0.0,0.0,-0.23108165032376055,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0005,0,6998.8198454006015,9713.057696467757,0.3878136473038185,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0002,0,536.6961034960186,609.9039126361229,0.1364045847607822,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0013,0,0.0,0.0,0.15472578308272378,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0013,1,1359.0700731874022,1099.988113918972,-0.1906317888825335,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0014,0,2117.5089228594225,1799.0871660980954,-0.15037563871576964,0.4,0.6,2.0,21210.698998454984,12726.41939907299,258.32319140240236,129.16159570120118,0,1,1,1,2794.8247839781734,2117.5089228594225,152.02200123589904,152.02200123589904,0.0,0.0,677.315861118751,126.89527707501517,30,28
20012,r0014,1,3986.2639370560064,4379.776334907369,0.0987170955222762,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0010,0,0.0,0.0,0.13849690827527827,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20013,r0006,0,3807.039471075053,4391.7988612779245,0.15359950813374257,0.4,0.6,2.0,7.449513143054252e-12,4.469707885832552e-12,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,0
20013,r0002,0,855.0714827460597,575.9336771789351,-0.3264496725708525,0.4,0.6,2.0,-7.62897773329102e-12,-4.577386639974611e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
