method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Full,NoBatch-LB,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,0.7756476810964958,%
Full,NoBatch-LB,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,11.79394477509934,%
Full,Fixed4-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,6.242487518489436,%
Full,Fixed4-LB,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,4.206690081481997,%
Full,Fixed4-LB,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,4.75000000000001,percentage points
Full,Fixed4-LB,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,0.20832406183778523,%
Full,Fixed4-LB,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,7.9770686721771735,%
Full,SeqGreedy-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,6.420703259685088,%
Full,SeqGreedy-LB,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,4.647933583466507,%
Full,SeqGreedy-LB,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,4.91666666666668,percentage points
Full,SeqGreedy-LB,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,0.22750170826162758,%
Full,SeqGreedy-LB,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,8.379360318980693,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,43.4002226971511,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,40.956523738329494,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,27.33333333333335,percentage points
Full,LECU-RBA (adapted),arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,4.619182080319692,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,74.20755375508304,%
