episode_seed,mapping_id,now_ms,node_id,group_size,proposal_weight,base_weight,baseline_batch_size,baseline_ids,result_ids,result_matches_baseline,proposal_exists,proposal_changed,risk_reducing,baseline_risk,proposal_risk,risk_reduction,baseline_utility,proposal_weighted_utility,proposal_reference_utility,absolute_utility_regret,relative_utility_regret,risk_reduction_per_regret,proposal_ids,selected_action
20007,1,4593.257290052205,edge_5,2,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.04621577001601149,0.04621577001601149,0.0,5.824662611922056,5.797071797222497,5.824662611922055,8.881784197001252e-16,1.524858140078673e-16,,r0000|r0007,0
20007,1,4593.257290052205,cloud_0,2,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.024854901180091545,0.024854901180091545,0.0,5.9530549613053765,5.938216585300862,5.9530549613053765,0.0,0.0,,r0000|r0007,0
20007,1,4593.257290052205,edge_5,4,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.05714689514064032,0.05714689514064032,0.0,5.747234039944032,5.713117343545069,5.747234039944032,0.0,0.0,,r0000|r0007,0
20007,1,4593.257290052205,cloud_0,4,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.032543843157975184,0.032543843157975184,0.0,5.864464791805278,5.8450361174399665,5.864464791805278,0.0,0.0,,r0000|r0007,0
20007,1,4593.257290052205,edge_5,8,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.07900914538989798,0.07900914538989798,0.0,5.648322746113317,5.6011542863155475,5.648322746113316,8.881784197001252e-16,1.5724640032499775e-16,,r0000|r0007,0
20007,1,4593.257290052205,cloud_0,8,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.04792172711374246,0.04792172711374246,0.0,5.764492436488826,5.735883165401922,5.764492436488826,0.0,0.0,,r0000|r0007,0
20007,2,8114.35328975388,edge_5,1,0.6,0.003,1,r0019,r0019,1,1,0,0,0.019619844461836487,0.019619844461836487,0.0,-1.0334117976860955,-1.045124844829812,-1.0334117976860957,2.220446049250313e-16,2.148655602947534e-16,,r0019,0
20007,2,8114.35328975388,cloud_0,1,0.6,0.003,1,r0019,r0019,1,1,0,0,0.011760901607322537,0.011760901607322537,0.0,-0.40104249457368585,-0.40806375283325735,-0.4010424945736858,-5.551115123125783e-17,-1.3841713031001118e-16,,r0019,1
20007,2,8114.35328975388,edge_5,2,0.6,0.003,1,r0019,r0019,1,1,0,0,0.030770907261947963,0.030770907261947963,0.0,-1.0361477912619954,-1.0545180228973783,-1.0361477912619954,0.0,0.0,,r0019,0
20007,2,8114.35328975388,cloud_0,2,0.6,0.003,1,r0019,r0019,1,1,0,0,0.019471586650802584,0.019471586650802584,0.0,-0.4010656266288163,-0.4126901638593454,-0.4010656266288163,0.0,0.0,,r0019,0
20007,2,8114.35328975388,edge_5,4,0.6,0.003,1,r0019,r0019,1,1,0,0,0.053073032862170924,0.053073032862170924,0.0,-1.0416197784137953,-1.0733043790325114,-1.0416197784137953,0.0,0.0,,r0019,0
20007,2,8114.35328975388,cloud_0,4,0.6,0.003,1,r0019,r0019,1,1,0,0,0.03489295673776267,0.03489295673776267,0.0,-0.40111189073907716,-0.42194298591152146,-0.40111189073907716,0.0,0.0,,r0019,0
20007,2,8114.35328975388,edge_5,8,0.6,0.003,1,r0019,r0019,1,1,0,0,0.0976772840626168,0.0976772840626168,0.0,-1.052563752717395,-1.1108770913027772,-1.052563752717395,0.0,0.0,,r0019,0
20007,2,8114.35328975388,cloud_0,8,0.6,0.003,1,r0019,r0019,1,1,0,0,0.06573569691168285,0.06573569691168285,0.0,-0.4012044189595989,-0.4404486300158736,-0.4012044189595989,0.0,0.0,,r0019,0
20007,3,16610.580672123928,edge_5,1,0.6,0.003,1,r0002,r0002,1,1,0,0,0.03023232910457186,0.03023232910457186,0.0,-0.08920096779392997,-0.10724966826935939,-0.08920096779392998,1.3877787807814457e-17,1.5557889281957794e-16,,r0002,0
