episode_seed,request_id,handover_index,lead_ms,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20043,r0005,0,6093.904096385144,1,1,1,1577.9473739736136,1577.9473739736136,0.0,174.30155807572905,93,16
20044,r0015,0,28723.360832577204,1,1,1,1595.5580274052063,1595.5580274052063,0.0,422.9410546078485,254,15
20044,r0000,0,8087.266410465134,1,1,1,397.7326927543927,397.7326927543927,0.0,246.54087266952897,103,17
20044,r0009,0,3014.1936630810887,1,1,1,1577.7718544700354,1577.7718544700354,0.0,114.22210460022967,25,15
20044,r0008,0,984.4139194830786,1,1,1,1769.6084339850959,984.4139194830786,785.1945145020172,90.7738622131125,8,15
20044,r0004,0,24766.557713351387,1,1,1,1410.0736525098496,1410.0736525098496,0.0,368.31209487839425,211,15
20044,r0020,0,26625.269786810415,1,1,1,1573.9605316982127,1573.9605316982127,0.0,387.36870873750615,226,15
20046,r0005,0,21480.852618291123,1,1,1,1423.7327408224642,1423.7327408224642,0.0,285.6526087602734,184,9
20046,r0000,0,954.9298168140158,1,1,1,1005.5928560543502,954.9298168140158,50.663039240334456,62.53898926055621,8,15
20046,r0013,0,16020.351874719629,1,1,1,2780.4328349992998,2780.4328349992998,0.0,368.5954937480806,133,15
20046,r0022,0,16601.15725996867,1,1,1,2420.6022639255298,2420.6022639255298,0.0,380.7519319600324,138,15
20046,r0014,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20046,r0004,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20046,r0019,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20049,r0007,0,11202.691299197071,1,1,0,0.0,0.0,0.0,0.0,419,0
20050,r0021,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20055,r0017,0,5349.922105244994,1,1,0,0.0,0.0,0.0,0.0,192,0
20055,r0008,0,1554.3453026235366,1,1,1,0.0,0.0,0.0,0.0,55,0
20057,r0011,0,23430.363002961756,1,1,0,0.0,0.0,0.0,0.0,381,0
20057,r0007,0,12953.386865866589,1,1,1,2633.963022608109,2633.963022608109,0.0,553.441628965578,223,19
20059,r0010,0,4975.736261119666,1,1,0,0.0,0.0,0.0,0.0,199,0
20060,r0006,0,6462.1234349722945,1,1,1,0.0,0.0,0.0,0.0,121,0
20060,r0019,0,4236.07269235079,1,1,0,0.0,0.0,0.0,0.0,79,0
20060,r0018,0,414.79736492651136,1,1,1,2186.50744360092,414.79736492651136,1771.7100786744086,47.31701858539573,3,22
20061,r0004,0,21399.73317188641,1,1,0,0.0,0.0,0.0,0.0,375,0
20061,r0003,0,4000.7032327850757,1,1,1,2116.518754201512,2116.518754201512,0.0,160.44708806718396,66,13
20066,r0006,0,12827.375378080615,1,1,1,250.08913159431887,250.08913159431887,0.0,66.91664162238179,200,1
20066,r0012,0,4765.882433839892,1,1,1,271.56341027804143,271.56341027804143,0.0,37.781728628715015,73,1
20068,r0022,0,20686.40527484124,1,1,1,971.8946810594881,971.8946810594881,0.0,263.4598701967303,243,11
20068,r0020,0,25894.310952858286,1,1,1,894.836859527048,894.836859527048,0.0,314.8317512183572,305,11
20068,r0011,0,32271.820386262392,1,1,1,818.1325847126985,818.1325847126985,0.0,326.08463545892624,377,8
20072,r0004,0,3745.12650051924,1,1,1,3082.686051256136,3082.686051256136,0.0,209.6013438306116,72,15
20072,r0005,0,10478.934467913088,1,1,1,2990.0937478888677,2990.0937478888677,0.0,566.3540420986152,203,15
20072,r0007,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20081,r0010,0,6328.494539609081,1,1,1,0.0,0.0,0.0,0.0,194,0
20082,r0000,0,32501.739093072094,1,1,1,141.45352954538052,141.45352954538052,0.0,57.547634219661575,363,1
20085,r0014,0,6416.5888923620805,1,1,1,1293.1243656967488,1293.1243656967488,0.0,220.7003001356933,159,9
20085,r0020,0,2540.0041211604257,1,1,1,1246.598375867636,1246.598375867636,0.0,98.47362905844386,63,9
